Search Query,Clicks,Impressions,CTR,Average Position
nlm library,61,95,64.21%,1.1
yellow wall paper pdf,61,69,88.41%,1
nih database,60,455,13.19%,3.5
nih grant deadlines,60,"1,059",5.67%,3
nlm class,60,65,92.31%,1
pubmed citation,60,656,9.15%,3.2
rxnorm download,60,71,84.51%,1
gilman the yellow wallpaper pdf,59,91,64.84%,1
how do they make insulin,59,337,17.51%,1
pubmed clinical queries,59,"2,662",2.22%,3.1
the yellow paper,59,762,7.74%,5.4
umls download,59,86,68.60%,1
c section history,58,504,11.51%,1
hipocratic oath,58,"1,385",4.19%,4.1
mescal plant,58,542,10.70%,1
what else did argentina do with fingerprints in 1900,58,172,33.72%,1
genetics ppt,57,645,8.84%,4.5
medicine,57,"197,399",0.03%,7.2
national library of medicine classification,57,84,67.86%,1
penicillin production,57,906,6.29%,2.4
production of insulin by recombinant dna technology,57,164,34.76%,1.7
rxnorm code lookup,57,96,59.38%,1
www.ncbi.nlm.nih.gov,57,"3,462",1.65%,3.7
indian appropriations act,56,"1,675",3.34%,4.6
mesh pubmed,56,"2,298",2.44%,4.6
mesh terms pubmed,56,"1,016",5.51%,1.6
nrsa fellowship,56,125,44.80%,1.6
synthetic insulin,56,780,7.18%,1.5
the yellow wallpaper short story pdf,56,94,59.57%,1
what is the hippocratic oath,56,"4,000",1.40%,6.3
de humani corporis fabrica,55,"3,504",1.57%,4.1
about pubmed,54,98,55.10%,1.1
four humors of the body,54,347,15.56%,1.1
how to cite pubmed,54,199,27.14%,1
medline vs pubmed,54,277,19.49%,2.8
penicillin made from,54,446,12.11%,1
pnds,54,"1,570",3.44%,4.1
how is insulin produced,53,"1,093",4.85%,2.8
how was penicillin made,53,327,16.21%,1
the yellow wallpaper summary pdf,53,228,23.25%,3
bertillon system,52,"1,970",2.64%,5.6
hippocratic oath text,52,384,13.54%,4.1
pubmed for nurses,52,61,85.25%,1
vntr,52,"4,743",1.10%,6.7
adh and entomology worksheet answers,51,66,77.27%,1
hippocratic oath original,51,178,28.65%,2.2
mesh nlm,51,109,46.79%,1.1
monster genetics lab,51,107,47.66%,1.7
penicillin is extracted from,51,820,6.22%,1
production of insulin,51,904,5.64%,5.3
pubmed.gov,51,"4,560",1.12%,3.1
snomed download,51,77,66.23%,1.1
the yellow wallpaper analysis pdf,51,165,30.91%,1.6
what is a medicine wheel,51,434,11.75%,3.5
penicillin obtained from,50,"1,272",3.93%,1.1
pubmed central,50,"35,973",0.14%,4.8
rxnorm code,50,111,45.05%,1.6
how does dna store information,49,463,10.58%,1
how penicillin is made,49,181,27.07%,1
med-rt,49,101,48.51%,1.1
medical journal database,49,437,11.21%,4.3
pubmed mesh tree,49,54,90.74%,1
pubmed vs medline,49,323,15.17%,2.9
alphonse bertillon,48,"6,227",0.77%,7.6
johnson vs mcintosh,48,501,9.58%,6.1
journal abbreviations pubmed,48,263,18.25%,2.2
nih data,48,139,34.53%,1.5
pubmed citation format,48,96,50.00%,1.3
snomed ct codes,48,229,20.96%,4.9
al-razi,47,"1,546",3.04%,5
inter caetera,47,"1,380",3.41%,5.7
nih datasets,47,87,54.02%,1
role of microorganisms in human insulin production,47,75,62.67%,1.1
rxnorm codes,47,101,46.53%,1
snomed ct browser,47,"2,091",2.25%,5.4
the yellow wallpaper pdf charlotte perkins gilman,47,70,67.14%,1
yellow wallpaper short story pdf,47,73,64.38%,1
drummond checklist,46,86,53.49%,1.5
pubmed truncation,46,64,71.88%,1
umls cui,46,149,30.87%,1.6
how to make antibiotics,45,"1,365",3.30%,6.5
mathieu orfila contribution to forensic science,45,282,15.96%,1.7
mesh subheadings,45,74,60.81%,1
nih impact score,45,186,24.19%,1
nlm strategic plan,45,52,86.54%,1
umls browser,45,186,24.19%,2.1
bodily humors,44,347,12.68%,1.1
doctors oath,44,"4,495",0.98%,6.6
medline and pubmed,44,135,32.59%,1.9
mesh ontology,44,89,49.44%,1
pubmed indexed journals list,44,62,70.97%,1.2
pubmed xml,44,86,51.16%,1.1
r21 submission dates,44,97,45.36%,1.1
rxnorm lookup,44,93,47.31%,1
greek medicine,43,"2,024",2.12%,7.8
medical journal citation format,43,115,37.39%,1.7
production of recombinant insulin,43,134,32.09%,1.9
prophetic medicine,43,919,4.68%,4.1
pubmet,43,"4,056",1.06%,3.2
the longest walk 1978,43,87,49.43%,1.1
what are mesh terms,43,337,12.76%,1.2
guava scientific name,42,"3,278",1.28%,4.2
health statistics,42,"2,327",1.80%,7.5
how is insulin made for diabetics,42,182,23.08%,1.1
med pub,42,"1,872",2.24%,3.7
medline library,42,88,47.73%,1.8
mesh key words,42,64,65.62%,1.4
patricia flatley brennan,42,111,37.84%,1
pubmed labs,42,"3,380",1.24%,2.5
pubmed subscription,42,119,35.29%,1.7
what is variolation,42,324,12.96%,2
humors,41,"3,992",1.03%,4.3
indian civil rights act,41,"1,200",3.42%,5.7
indian education act,41,387,10.59%,3.1
insulin recombinant dna,41,83,49.40%,1.5
nih k award deadlines,41,90,45.56%,1.1
nih us national library of medicine,41,65,63.08%,1.1
nlm classification outline,41,47,87.23%,1
peace policy,41,340,12.06%,1
pubmed indexed journal list,41,53,77.36%,1.1
history of mental institutions,40,288,13.89%,4.6
mathieu orfila forensic science,40,201,19.90%,1.8
mesh major topic,40,92,43.48%,1.5
mesh tree structure,40,53,75.47%,1
nih deadlines 2019,40,364,10.99%,2.1
alphonse bertillon forensics,39,297,13.13%,2.5
classification of drugs pdf,39,"1,163",3.35%,7.8
drugdex,39,"1,108",3.52%,3.1
four bodily humors,39,212,18.40%,1.1
http://www.nlm.nih.gov/bsd/uniform_requirements.html,39,49,79.59%,1
loansome doc,39,75,52.00%,1
marshall trilogy laws,39,76,51.32%,1.1
new pubmed,39,173,22.54%,2.1
nih r01 deadlines 2019,39,99,39.39%,1
nlm medline,39,74,52.70%,1.2
penicillin is obtained from,39,"1,967",1.98%,1.1
penicillin mould,39,329,11.85%,1.2
pubmed rss,39,68,57.35%,1.4
pubmed tutorials,39,58,67.24%,1
the long walk navajo,39,"1,029",3.79%,7.2
the yellow wallpaper annotations pdf,39,110,35.45%,3.4
the yellow wallpaper text,39,86,45.35%,1.7
yellow wallpaper story pdf,39,47,82.98%,1
abraham lincoln autopsy,38,202,18.81%,1.5
autopsy videos,38,545,6.97%,8.1
free online medical library,38,82,46.34%,1
greek medicine timeline,38,149,25.50%,2.6
harry potter genetics,38,127,29.92%,2.8
index medicus medical subject headings,38,56,67.86%,1.2
k99 deadline 2019,38,74,51.35%,1
pubmed advanced search,38,"3,300",1.15%,3.7
pubmed author id,38,216,17.59%,3.2
the longest walk,38,788,4.82%,4.4
what does the medicine wheel represent,38,236,16.10%,1
when did c sections start,38,222,17.12%,1.4
american indian movement,37,"4,555",0.81%,12
elizabeth blackwell primary sources,37,413,8.96%,3.6
genetics terminology pdf,37,91,40.66%,1.6
mesh heading,37,136,27.21%,1.1
mesh library,37,156,23.72%,1.3
nlm strategic plan synopsis,37,38,97.37%,1
nrsa nih,37,63,58.73%,1
oath of hippocrates,37,919,4.03%,3.6
pubmed reference style,37,63,58.73%,1
pubmed statistics,37,61,60.66%,1
recombinant insulin production in e. coli,37,210,17.62%,2.2
rxcui lookup,37,70,52.86%,1.2
www.pubmed.com,37,"6,326",0.58%,4.3
humours of the body,36,207,17.39%,1.3
medical subject headings 2019,36,57,63.16%,1.1
national health library,36,67,53.73%,1.5
preventing infectious diseases worksheet answers,36,64,56.25%,1
pubmed boolean,36,54,66.67%,1
snomed code list,36,65,55.38%,2.4
the yellow wall-paper,36,260,13.85%,3.4
the yellow wallpaper book,36,279,12.90%,4.7
artificial insulin,35,309,11.33%,2.4
health indicators ppt,35,498,7.03%,6
johnson v mcintosh doctrine of discovery,35,76,46.05%,1.1
medical literature analysis and retrieval system online,35,82,42.68%,2
nih common data elements,35,51,68.63%,1
nih k99 deadline,35,73,47.95%,1.7
papal bull of 1493,35,239,14.64%,1.2
pdf the yellow wallpaper,35,52,67.31%,1
pubmed citation style,35,50,70.00%,1.1
pubmed summary format,35,46,76.09%,1
snomed codes list,35,201,17.41%,4.5
yellow wallpaper by charlotte perkins gilman,35,152,23.03%,3.9
asclepius,34,"22,790",0.15%,10
grant's peace policy,34,225,15.11%,1
k award deadlines,34,70,48.57%,1.2
life and limb civil war,34,36,94.44%,1
medline/pubmed,34,430,7.91%,2.7
nih citation format,34,172,19.77%,2
nih submission deadlines,34,612,5.56%,3
pubmed and medline,34,175,19.43%,3.1
pubmed research,34,870,3.91%,2.3
sources of health data,34,97,35.05%,1
the yellow wallpaper pdf free,34,49,69.39%,1.2
umls database,34,48,70.83%,1
what is snomed ct,34,232,14.66%,3.9
blowfly life cycle,33,871,3.79%,2.6
loinc,33,"3,987",0.83%,6.9
medical subject headings from index medicus,33,45,73.33%,1.2
medline citation,33,52,63.46%,1
national institute of medicine,33,265,12.45%,2.9
olelo no'eau,33,247,13.36%,3.8
pubmed boolean operators,33,38,86.84%,1
pubmed search syntax,33,45,73.33%,1
pubmed wildcard,33,47,70.21%,1
snomed to icd 10,33,61,54.10%,1.1
the four directions,33,652,5.06%,5.3
the yellow wallpapaer,33,160,20.62%,4.5
trail of tears,33,"1,103",2.99%,21
virgin soil epidemics,33,229,14.41%,2.3
yellow wallpaper charlotte perkins gilman,33,223,14.80%,4.2
yellow wallpaper gilman pdf,33,45,73.33%,1
diphtheria antitoxin,32,"1,502",2.13%,5
first cesarean,32,151,21.19%,1
graphic medicine,32,730,4.38%,4.2
medline literature search,32,62,51.61%,2.5
mesh term,32,"1,537",2.08%,2.9
national library of medicine (nlm),32,58,55.17%,1
national medicine library,32,46,69.57%,1
native american medicines,32,125,25.60%,2.9
native american sports,32,611,5.24%,1.8
navajo long walk,32,"1,185",2.70%,6.5
nih national library of medicine,32,48,66.67%,1.4
pilgrim and native american timeline,32,65,49.23%,4
umls cui lookup,32,53,60.38%,1
autopsy video clips,31,331,9.37%,4.8
cesarean section origin,31,355,8.73%,2.9
how is insulin manufactured,31,166,18.67%,1
icmje reference style,31,127,24.41%,3.1
lincoln autopsy,31,119,26.05%,1
loinc to cpt mapping,31,47,65.96%,1.1
mesh terms list,31,220,14.09%,1.4
pharmacological action,31,875,3.54%,3
publication medline unique identifier,31,52,59.62%,1.3
pubmed format,31,49,63.27%,1.1
pubmed indexing,31,76,40.79%,1.8
pubmed keywords,31,97,31.96%,2.1
pubmed mesh terms,31,501,6.19%,3.3
pubmed nursing,31,54,57.41%,1
r21 deadlines 2019,31,77,40.26%,1.1
recombinant insulin production,31,138,22.46%,2
scholastic performance,31,170,18.24%,2.8
the yellow wallpaper text pdf,31,39,79.49%,1
automatic term mapping,30,57,52.63%,2.4
biblioteca nacional de medicina de los estados unidos,30,303,9.90%,4.2
disease database,30,335,8.96%,3.5
download mesh,30,62,48.39%,1.1
healthcare data sources,30,142,21.13%,1.1
impact score nih,30,114,26.32%,1
indian reorganization act,30,"3,795",0.79%,6.9
indigenous medicine wheel,30,391,7.67%,3.3
juan vucetich fingerprints,30,79,37.97%,1.3
k99 deadline,30,166,18.07%,2
medline data base,30,47,63.83%,1
native american heritage day,30,"1,014",2.96%,4.6
nlm outline,30,37,81.08%,1
president grant's peace policy,30,118,25.42%,1
pubmed listed journals,30,44,68.18%,1
pumbed,30,"4,425",0.68%,3.3
search medline,30,59,50.85%,1.1
the 4 humours,30,482,6.22%,4.3
the yellow wallpaper free pdf,30,40,75.00%,1
the yellow wallpaper read online,30,119,25.21%,2.4
visible human project download,30,43,69.77%,1
what are the four humors,30,455,6.59%,4.1
what is the medicine wheel,30,282,10.64%,3.4
greek medical words,29,51,56.86%,1
herbs and their uses,29,801,3.62%,6.2
humorism,29,"2,113",1.37%,6.7
insulin manufacturing process,29,142,20.42%,1.4
islamic medical manuscripts,29,35,82.86%,1.1
medical subject,29,208,13.94%,1.1
medispan,29,"1,943",1.49%,7.7
national library of medicine citation,29,165,17.58%,2.1
national research service award,29,53,54.72%,1.2
types of economic analysis,29,498,5.82%,3.5
visible proofs,29,33,87.88%,1
www.nlm.nih.gov/medlineplus/mentalhealthand behavior.html,29,305,9.51%,3.1
american indian movement timeline,28,85,32.94%,1.6
community health indicators,28,175,16.00%,3.3
indians of all tribes,28,101,27.72%,1
medical database,28,740,3.78%,8.3
medline mesh,28,136,20.59%,2.6
medline national library of medicine,28,44,63.64%,1
medline nlm,28,37,75.68%,1.1
medline publications,28,41,68.29%,1.1
mendelian traits definition,28,229,12.23%,1
mesh research,28,107,26.17%,3.1
national library of medicine grants,28,33,84.85%,1
national library of medicine images,28,54,51.85%,1.1
native american ceremonies,28,646,4.33%,3.6
ncbi journal,28,"2,153",1.30%,5.2
nichsr,28,40,70.00%,1
nih data sharing policy,28,145,19.31%,2.6
papal bull 1493,28,434,6.45%,4.5
pubmed save search,28,44,63.64%,1
snomed browser,28,"1,920",1.46%,5.4
snomed to icd 10 mapping,28,48,58.33%,1.1
susie king taylor,28,711,3.94%,6.6
the four humours medieval medicine,28,443,6.32%,3.8
the yellow wallaper,28,96,29.17%,3.8
us national library,28,214,13.08%,1.5
www.pubmed,28,"6,411",0.44%,4.3
yellow paper pdf,28,40,70.00%,1.5
yellow wallpaper charlotte perkins gilman pdf,28,45,62.22%,1
alphonse bertillon contribution to forensic science,27,235,11.49%,1.3
common data elements,27,136,19.85%,2.2
consumer health vocabulary,27,44,61.36%,1
health economics textbook pdf,27,132,20.45%,2.8
human visible project,27,52,51.92%,1.7
levocetirizina,27,168,16.07%,3.2
list of journals indexed in index medicus,27,77,35.06%,2.6
medical subheadings,27,35,77.14%,1
medlars,27,386,6.99%,4.1
national library of medicine catalog,27,183,14.75%,2.2
nih due dates,27,"1,761",1.53%,4.2
nlm grants,27,32,84.38%,1
nlm reference style,27,209,12.92%,3
pubmed rss feed,27,32,84.38%,1
pumed,27,"11,594",0.23%,3.4
sample nomination letter for board of directors,27,85,31.76%,1.7
truncation pubmed,27,37,72.97%,1
美國國家醫學圖書館,27,65,41.54%,2.6
biomedical literature,26,199,13.07%,3.1
genetics terms,26,218,11.93%,4.6
gilman yellow wallpaper pdf,26,35,74.29%,1
humours,26,"3,316",0.78%,6.7
index medicus journals,26,51,50.98%,2.9
juan vucetich,26,"1,232",2.11%,6.3
list of mesh terms,26,67,38.81%,1.2
medline format,26,47,55.32%,1.8
medline journal articles,26,56,46.43%,2
mesh terms examples,26,162,16.05%,1
multum,26,702,3.70%,4.7
pabmed,26,"1,839",1.41%,3.5
patricia brennan,26,572,4.55%,3.6
production of human insulin,26,116,22.41%,1.2
public services before ww2,26,83,31.33%,2.9
spread of infectious disease worksheet,26,47,55.32%,1
termination act of 1953,26,125,20.80%,1
the yellow wallpaper pdf with annotations,26,77,33.77%,1.9
the yellow wallpaper story pdf,26,32,81.25%,1
us medical library,26,41,63.41%,1.3
what did christopher columbus do to the taino,26,61,42.62%,1.2
when was the first cesarean section performed,26,124,20.97%,1
when were c sections invented,26,139,18.71%,1.2
4 bodily humors,25,124,20.16%,1
boolean operators pubmed,25,34,73.53%,1
dioscorides,25,"2,529",0.99%,6.1
download pubmed,25,45,55.56%,1.1
health data sources,25,53,47.17%,1
historical anatomies on the web,25,30,83.33%,1
history of psychiatry pdf,25,108,23.15%,1.9
how do you make penicillin,25,221,11.31%,1.1
how to balance the four humours,25,94,26.60%,3.3
index medicus journal list,25,71,35.21%,2.4
insulin bacteria,25,130,19.23%,1
list of herbs and their uses,25,372,6.72%,5.3
marshall trilogy,25,735,3.40%,6.4
medicinal herbs list,25,632,3.96%,5.9
mesh descriptors,25,46,54.35%,1.2
national library of medicine pubmed,25,78,32.05%,4.2
nlm history of medicine,25,31,80.65%,1.1
nlm jobs,25,67,37.31%,1
penicillin is made from,25,360,6.94%,1
production of insulin by recombinant dna technology pdf,25,109,22.94%,1.8
production of penicillin,25,582,4.30%,2.9
pubmed index journals,25,36,69.44%,1
scientific name of guava,25,"3,866",0.65%,4.3
snomed lookup,25,135,18.52%,2.7
snyder act of 1921,25,58,43.10%,1
the yellow walpaper pdf,25,31,80.65%,1
ua ola loko i ke aloha,25,167,14.97%,1.3
what is a mendelian trait,25,321,7.79%,3.6
when was the first c section performed,25,96,26.04%,1
when was the first cesarean section,25,138,18.12%,1
4 humors of hippocrates,24,96,25.00%,1
describe the taino view of columbus’s voyage and their encounter with the europeans.,24,140,17.14%,3.5
hawaiian diet,24,178,13.48%,1.3
health technology,24,"3,988",0.60%,11
hippocrates 4 humors,24,361,6.65%,3.7
hippocrates four humors,24,345,6.96%,3.8
how is insulin produced commercially,24,73,32.88%,1
making penicillin,24,110,21.82%,1
medicine circle,24,345,6.96%,2.3
medline download,24,31,77.42%,1
mendelian traits in humans,24,504,4.76%,5.9
mesh nih,24,55,43.64%,1.1
mesh vocabulary,24,65,36.92%,1.9
national library of medicine database,24,43,55.81%,1
native american healing,24,459,5.23%,3.8
nih data repository,24,28,85.71%,1
nlm journal abbreviations,24,527,4.55%,2
online medical library,24,65,36.92%,1.1
pubmed abbreviations,24,309,7.77%,2.6
rxnorm documentation,24,26,92.31%,1
shen nung,24,"1,536",1.56%,6
the yellow wallapaper,24,85,28.24%,4.5
the yellow wallpaer,24,136,17.65%,4.3
the yelow wallpaper,24,64,37.50%,3.9
trail of broken treaties,24,648,3.70%,1
umls ontology,24,29,82.76%,1
veterinary database,24,79,30.38%,1.2
virgin soil theory,24,144,16.67%,2.1
www.nlm.nih.gov /bsd/uniform_requirements.html,24,32,75.00%,1
www.pubmed.com pmc,24,"1,562",1.54%,3.6
a yellow wallpaper pdf,23,25,92.00%,1
autopsy videos for medical students,23,280,8.21%,5.4
basic genetics worksheet,23,66,34.85%,2
basic terms in genetics,23,39,58.97%,1
cancerlit,23,86,26.74%,2.1
economic analysis,23,"3,969",0.58%,8
genetics activity pdf,23,81,28.40%,2.4
